--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.001  000.001: --- NVIM STARTING ---
000.176  000.176: event init
000.270  000.094: early init
000.326  000.056: locale set
000.375  000.049: init first window
000.755  000.380: inits 1
000.769  000.014: window checked
000.772  000.003: parsing arguments
001.277  000.051  000.051: require('vim._core.shared')
001.363  000.006  000.006: require('string.buffer')
001.391  000.054  000.048: require('vim.inspect')
001.444  000.044  000.044: require('vim._core.options')
001.450  000.166  000.068: require('vim._core.editor')
001.490  000.038  000.038: require('vim._core.system')
001.491  000.283  000.028: require('vim._init_packages')
001.492  000.437: init lua interpreter
001.552  000.060: expanding arguments
001.574  000.022: inits 2
001.853  000.279: init highlight
001.868  000.015: clear screen
001.994  000.011  000.011: require('vim.keymap')
002.700  000.127  000.127: sourcing nvim_exec2()
002.810  000.940  000.802: require('vim._core.defaults')
002.812  000.004: init default mappings & autocommands
003.369  000.043  000.043: sourcing /home/frerebo/installations/nvim-linux-x86_64/share/nvim/runtime/ftplugin.vim
003.434  000.022  000.022: sourcing /home/frerebo/installations/nvim-linux-x86_64/share/nvim/runtime/indent.vim
004.400  000.653  000.653: require('lazy')
004.422  000.012  000.012: require('ffi')
004.475  000.031  000.031: require('vim.fs')
004.594  000.116  000.116: require('vim.uri')
004.605  000.181  000.033: require('vim.loader')
004.726  000.105  000.105: require('lazy.stats')
004.839  000.095  000.095: require('lazy.core.util')
004.947  000.107  000.107: require('lazy.core.config')
005.153  000.068  000.068: require('lazy.core.handler')
005.421  000.080  000.080: require('lazy.pkg')
005.426  000.180  000.100: require('lazy.core.meta')
005.434  000.279  000.099: require('lazy.core.plugin')
005.439  000.490  000.143: require('lazy.core.loader')
006.002  000.149  000.149: require('lazy.async')
006.230  000.139  000.139: require('lazy.manage.process')
006.423  000.192  000.192: require('lazy.terminal')
006.430  000.425  000.094: require('lazy.manage.task')
006.433  000.664  000.090: require('lazy.manage.runner')
006.437  000.771  000.107: require('lazy.manage')
006.440  000.880  000.109: require('lazy.view.commands')
006.612  000.136  000.136: require('lazy.core.fragments')
010.801  000.082  000.082: require('lazy.core.handler.cmd')
010.915  000.068  000.068: require('lazy.core.handler.event')
010.918  000.111  000.043: require('lazy.core.handler.ft')
010.990  000.066  000.066: require('lazy.core.handler.keys')
011.334  000.005  000.005: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
011.352  000.001  000.001: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
011.709  000.138  000.138: sourcing nvim_exec2() called at /home/frerebo/installations/nvim-linux-x86_64/share/nvim/runtime/filetype.lua:0
011.716  000.234  000.096: sourcing /home/frerebo/installations/nvim-linux-x86_64/share/nvim/runtime/filetype.lua
011.720  000.275  000.040: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
011.825  000.003  000.003: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
011.837  000.001  000.001: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
012.337  000.497  000.497: require('onedark')
013.433  000.053  000.053: require('onedark')
013.671  000.213  000.213: sourcing nvim_exec2() called at /home/frerebo/.local/share/nvim/lazy/onedark.nvim/colors/onedark.lua:0
013.798  000.119  000.119: sourcing nvim_exec2() called at /home/frerebo/.local/share/nvim/lazy/onedark.nvim/colors/onedark.lua:0
014.673  000.409  000.409: require('onedark.palette')
014.734  000.586  000.177: require('onedark.colors')
014.820  000.083  000.083: require('onedark.util')
014.888  001.079  000.411: require('onedark.highlights')
016.757  000.111  000.111: require('onedark.terminal')
016.767  003.532  001.957: sourcing /home/frerebo/.local/share/nvim/lazy/onedark.nvim/colors/onedark.lua
016.925  000.003  000.003: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
016.934  000.001  000.001: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
016.943  000.001  000.001: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
016.950  000.001  000.001: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
017.354  000.038  000.038: require('mason-core.path')
017.462  000.062  000.062: require('mason-core.functional')
017.545  000.033  000.033: require('mason-core.functional.data')
017.549  000.074  000.041: require('mason-core.functional.function')
017.595  000.037  000.037: require('mason-core.functional.relation')
017.686  000.086  000.086: require('mason-core.functional.logic')
017.705  000.348  000.089: require('mason-core.platform')
017.775  000.069  000.069: require('mason.settings')
017.777  000.824  000.369: require('mason')
017.864  000.048  000.048: require('mason-core.log')
017.895  000.029  000.029: require('mason-lspconfig.settings')
017.897  000.119  000.042: require('mason-lspconfig')
018.275  000.065  000.065: require('mason-core.functional.list')
018.339  000.060  000.060: require('mason-core.functional.string')
018.359  000.219  000.093: require('mason.api.command')
018.421  000.057  000.057: require('mason-registry.sources')
018.641  000.035  000.035: require('mason-lspconfig.notify')
018.646  000.114  000.079: require('mason-lspconfig.lspconfig_hook')
019.170  000.004  000.004: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
019.183  000.001  000.001: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
019.353  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
019.361  000.001  000.001: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
020.288  000.041  000.041: sourcing /home/frerebo/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
020.294  000.075  000.034: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
020.300  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
020.309  000.001  000.001: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
020.734  000.054  000.054: require('plenary.bit')
020.783  000.046  000.046: require('plenary.functional')
020.809  000.419  000.319: require('plenary.path')
020.922  000.008  000.008: require('vim.F')
020.942  001.225  000.720: require('plenary.log')
020.964  001.284  000.059: require('lsp-file-operations.log')
020.966  001.550  000.266: require('lsp-file-operations')
021.528  000.036  000.036: sourcing /home/frerebo/.local/share/nvim/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
021.537  000.086  000.050: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
021.543  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
021.557  000.001  000.001: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
